S,E,I,R,D
0.9347405939338623,0.0023124015167650174,0.006968635550637161,0.05551017710096483,0.00046819189777076394
0.9335855065141608,0.0023112881780840352,0.006965313425356568,0.05666000196681996,0.000477889915578734
0.932430976690504,0.002310173912698831,0.006961987404697798,0.05780927868200379,0.00048758331009568853
0.9312770047985383,0.002309058848315129,0.006958657673467206,0.05895800660377893,0.0004972720759005596
0.9301235912262864,0.0023079429964093824,0.006955324449573773,0.06010618511990102,0.0005069562078294681
0.9289707364225128,0.002306826301978303,0.006951987920406469,0.06125381365408069,0.0005166357010217916
0.9278184408884442,0.0023057086850577866,0.006948648214672655,0.062400891660947755,0.0005263105508776906
0.926666705162212,0.0023045900687611335,0.006945305399681807,0.06354741861636874,0.0005359807529764434
0.9255155298026924,0.0023034703939001774,0.0069419594931003185,0.06469339400731625,0.0005456463029910006
0.92436491537651,0.0023023496231324605,0.006938610480060956,0.0658388173236778,0.0005553071966188985
0.9232148624495701,0.0023012277385061706,0.006935258329499043,0.06698368805288786,0.0005649634295369833
0.9220653715828833,0.0023001047359399217,0.0069319030065429004,0.0681280056772552,0.0005746149973788695
0.9209164433316277,0.0022989806192255757,0.00692854448008251,0.06927176967333477,0.0005842618957296417
0.919768078246175,0.0022978553950654514,0.006925182726080236,0.07041497951254838,0.0005939041201310899
0.9186202768739653,0.0022967290697424496,0.006921817727849262,0.07155763466235163,0.0006035416660915516
0.9174730397614406,0.0022956016473959892,0.006918449474620768,0.07269973458744676,0.0006131745290961418
0.916326367455596,0.0022944731295424852,0.006915077959487489,0.07384127875075919,0.000622802704614989
0.9151802605049917,0.0022933435153756152,0.006911703177449676,0.07498226661407462,0.000632426188108609
0.9140347194602536,0.002292212802425849,0.006908325123936337,0.07612269763835382,0.0006420449750305598
0.912889744874193,0.0022910809872734254,0.006904943793902288,0.07726257128380332,0.0006516590608280379
0.9117453373016925,0.002289948066137224,0.006901559181431943,0.0784018870097972,0.0006612684409412186
0.9106014972994912,0.00228881403526985,0.006898171279703458,0.07954064427473347,0.0006708731108020446
0.9094582254259634,0.002287678891162744,0.006894780081156392,0.08067884253588453,0.0006804730658329653
0.9083155222409406,0.0022865426306042276,0.006891385577734017,0.08181648124927533,0.0006900683014459079
0.9071733883055974,0.0022854052506452996,0.006887987761114337,0.08295355986960144,0.0006996588130415878
0.9060318241823972,0.0022842667485227014,0.006884586622885571,0.08409007785018531,0.0007092445960091386
0.9048908304350833,0.0022831271215752644,0.006881182154653952,0.08522603464296143,0.0007188256457259876
0.9037504076286965,0.0022819863671744737,0.0068777743480917895,0.08636142969847933,0.000728401957557881
0.9026105563296062,0.0022808444826775674,0.006874363194942787,0.08749626246591448,0.0007379735268589755
0.9014712771055421,0.0022797014654028364,0.006870948687003049,0.08863053239308004,0.0007475403489719375
0.9003325705256213,0.002278557312622216,0.006867530816092885,0.08976423892643554,0.0007571024192280167
0.8991944371603676,0.0022774120215647963,0.006864109574029605,0.09089738151109086,0.0007666597329470793
0.8980568775817245,0.0022762655894254936,0.006860684952606595,0.09202995959080575,0.0007762122854376038
0.8969198923630626,0.0022751180133746473,0.00685725694358021,0.09316197260798584,0.0007857600719966479
0.8957834820791838,0.002273969290566069,0.006853825538663649,0.09429342000367658,0.0007953030879097971
0.8946476473063243,0.0022728194181425273,0.006850390729525874,0.09542430121755607,0.000804841328451104
0.8935123886221569,0.0022716683932386727,0.006846952507793446,0.09655461568792784,0.0008143747888830276
0.8923777066057943,0.0022705162129819352,0.006843510865053519,0.09768436285171375,0.0008239034644563735
